53,2,23,63,41,11
49,22,14,19,9,34
48,18,46,3,10,8
20,19,47,57,40,29
35,49,41,36,9,33
10,5,24,17,43,31
44,15,56,39,2,15
31,50,69,21,51,8
40,10,14,32,49,15
47,6,35,20,37,1
3,17,13,52,42,24
40,43,27,22,16,5
16,36,20,6,31,8
38,2,43,5,59,8
46,26,52,10,30,35
18,30,2,14,31,36
8,43,22,39,15,22
58,4,17,35,15,17
5,15,45,17,3,6
17,47,44,7,54,3
24,16,48,34,3,3
7,8,32,17,14,15
18,4,30,37,3,23
24,40,1,50,49,38
37,34,33,25,35,35
48,21,41,27,25,25
19,26,54,41,2,23
8,16,1,7,19,37
47,53,23,55,9,39
54,8,7,29,17,26
37,1,55,44,34,33
58,18,48,13,36,28
9,23,2,14,21,3
14,41,10,8,42,20
1,19,45,58,46,29
27,42,39,34,23,40
62,30,12,25,52,8
32,13,38,51,19,30
18,37,20,16,3,30
14,57,33,10,7,18
17,27,29,7,41,33
43,10,12,23,47,18
32,18,45,10,11,18
15,27,23,36,16,9
32,28,10,64,61,12
53,41,36,32,37,30
54,15,48,33,10,34
27,54,25,31,44,8
44,33,12,50,40,40
11,34,55,41,49,20
39,20,14,40,3,37
9,13,11,24,43,18
3,30,8,47,12,23
39,28,14,29,26,39
18,39,57,36,41,12
24,42,26,16,28,24
1,2,6,20,10,38
1,53,20,37,52,33
12,64,50,61,2,1
48,35,15,12,25,30
59,12,46,19,15,12
15,21,38,19,8,33
37,69,12,25,60,20
29,39,9,24,3,42
21,5,8,49,46,34
42,46,12,4,19,9
28,54,14,15,37,10
38,36,30,24,37,42
52,48,15,24,40,23
49,20,42,14,66,5
48,56,2,16,3,24
41,33,10,59,29,15
16,24,26,10,18,13
6,51,3,20,32,23
30,35,38,33,64,22
46,39,31,35,34,3
25,68,40,54,33,3
30,12,34,19,36,8
39,26,24,34,25,31
42,45,11,31,35,35
17,42,33,37,34,8
23,47,10,20,54,26
2,21,43,32,16,6
26,20,54,46,38,23
42,7,16,6,34,23
17,52,10,33,51,5
17,7,20,13,35,35
12,53,30,27,10,28
39,19,53,30,40,16
9,23,41,19,16,12
5,55,33,39,36,21
30,40,37,32,19,37
34,44,30,16,37,16
10,41,22,20,49,6
41,29,5,42,18,16
55,7,54,23,35,28
6,51,42,4,25,17
48,47,35,4,16,39
1,44,6,34,31,25
23,29,35,8,2,19
31,15,33,47,43,6
17,52,27,35,28,2
49,3,37,19,14,4
14,25,33,18,49,23
8,49,34,29,26,28
8,15,59,34,53,23
26,54,49,25,17,11
55,10,50,1,23,29
47,49,53,3,19,4
29,37,59,10,44,10
19,5,16,34,29,24
10,40,45,20,21,22
57,12,28,15,11,23
22,4,41,44,9,14
29,38,8,13,52,28
31,42,10,27,20,26
25,4,17,2,6,31
17,34,32,16,43,31
37,1,11,10,40,20
36,14,10,11,7,15
17,28,10,1,45,20
5,8,44,40,11,10
30,53,62,38,52,1
32,56,4,27,22,13
16,42,8,7,43,15
19,33,42,52,11,33
26,15,28,36,14,36
34,12,31,51,3,24
28,22,3,11,18,33
45,25,23,67,52,2
53,40,32,49,43,21
36,20,54,27,26,19
48,23,40,21,19,27
32,36,13,21,5,33
22,52,10,23,7,29
49,14,48,9,44,29
21,23,6,8,3,11
39,8,43,45,49,13
9,38,3,33,19,18
12,43,17,26,48,24
8,5,26,41,9,19
52,10,61,28,13,2
40,51,44,11,17,21
17,45,10,29,9,33
50,53,10,20,25,35
33,47,13,16,44,29
33,32,19,54,42,15
15,2,29,47,21,12
56,6,4,34,49,29
27,34,52,49,42,23
46,14,49,7,23,20
38,56,28,39,23,32
18,40,25,43,15,37
45,19,41,32,8,37
16,43,46,49,22,10
50,51,6,16,52,23
36,51,56,22,59,32
20,45,1,21,5,24
40,51,59,41,38,33
50,58,7,31,51,6
33,41,25,14,32,34
38,9,32,28,5,29
12,36,38,19,4,6
24,43,11,12,45,9
38,1,48,27,7,30
15,47,35,34,42,15
11,16,21,35,27,31
15,59,52,10,31,4
28,6,4,12,42,6
58,3,56,48,16,4
20,39,7,17,59,17
40,1,6,21,33,28
1,55,33,28,56,22
51,37,34,16,4,38
17,6,16,19,38,16
49,1,5,10,15,22
28,47,19,20,17,37
41,35,10,16,3,38
11,40,16,51,56,38
17,49,5,25,37,21
15,16,35,46,1,35
25,2,32,31,18,1
16,11,44,17,6,26
15,37,35,1,47,8
21,33,42,7,16,25
36,10,43,40,42,42
49,7,27,1,36,39
30,68,59,41,28,10
8,20,49,9,3,22
3,8,25,47,30,13
42,36,19,1,8,20
46,22,35,52,29,2
42,14,9,16,11,19
8,13,59,17,34,35
37,28,33,22,25,20
6,20,10,1,13,32
40,69,33,23,30,12
47,5,24,26,33,1
18,4,35,27,9,11
27,7,30,44,24,29
40,22,32,26,38,7
15,26,31,6,20,9
35,3,37,27,45,31
35,1,17,36,27,31
44,36,23,9,8,15
53,38,24,54,16,5
55,2,17,41,54,17
19,35,57,47,13,29
26,53,24,14,2,1
57,25,18,55,50,17
1,57,16,41,17,15
41,6,54,5,37,26
54,30,32,46,25,26
48,11,14,26,31,30
37,39,38,19,10,28
28,15,36,23,21,20
39,27,7,3,40,8
6,52,59,29,9,7
61,52,51,64,3,6
29,27,7,40,17,25
18,36,31,25,20,7
24,28,54,2,14,13
3,45,29,24,14,24
27,43,31,12,4,20
21,40,8,38,4,3
30,33,37,36,49,35
34,52,45,20,33,21
41,6,27,23,47,19
1,20,11,39,34,37
53,5,56,14,32,11
43,22,34,6,45,23
39,17,21,32,19,8
23,26,39,4,17,27
16,5,12,31,43,18
49,7,12,19,47,6
32,45,34,52,58,20
27,24,30,13,45,18
39,47,43,20,18,31
39,59,7,67,50,25
13,2,27,19,50,5
4,52,22,27,28,35
27,19,38,13,17,12
10,26,19,32,27,14
30,7,18,45,41,6
28,26,48,40,15,9
45,34,13,50,16,11
7,14,24,41,21,26
29,9,10,52,39,20
41,29,20,16,11,12
8,23,43,15,46,29
31,50,37,1,33,40
47,17,50,12,35,13
18,13,4,59,49,5
32,50,12,40,54,37
42,55,38,54,36,24
33,5,52,46,17,9
30,12,36,20,47,25
25,52,53,6,26,40
44,42,6,27,32,10
1,25,40,53,20,19
32,35,7,48,38,17
5,36,49,55,22,23
56,51,35,44,8,18
17,8,51,24,38,31
46,17,22,16,54,35
35,3,16,2,13,27
28,44,12,22,25,24
27,37,42,12,10,30
36,18,25,50,48,23
46,45,19,39,49,17
31,42,19,45,32,6
6,58,66,25,35,5
40,42,38,1,4,17
17,45,46,5,14,41
43,2,15,4,37,40
40,12,43,48,33,16
12,18,1,33,9,14
4,3,29,38,13,21
45,34,42,3,21,39
52,49,36,57,44,1
54,12,11,16,15,25
40,10,11,37,54,10
18,62,66,68,28,22
50,56,42,53,19,39
25,40,18,23,26,15
32,4,10,39,45,25
16,10,52,40,55,17
9,3,33,7,31,20
41,33,39,54,40,28
2,62,40,50,3,5
49,24,12,36,35,1
55,69,23,64,59,13
14,3,46,38,35,16
1,34,47,10,39,33
15,7,29,41,20,22
2,48,30,9,47,40
17,36,29,16,31,23
22,49,41,26,3,18
23,21,42,32,34,5
2,36,22,32,47,36
22,15,38,47,8,26
9,15,31,40,37,9
58,1,32,42,12,12
47,44,23,21,39,19
57,56,1,53,12,5
24,41,39,23,27,30
41,42,17,40,46,25
3,24,38,21,39,24
15,30,5,40,25,6
46,41,36,18,11,38
18,45,25,1,29,2
6,7,40,56,31,38
2,7,48,9,5,32
5,43,34,52,40,20
51,55,21,12,13,18
37,6,3,27,41,38
33,36,4,23,45,29
2,19,35,24,28,26
28,2,36,46,42,40
29,10,18,16,45,19
45,11,13,21,34,30
22,16,42,23,55,32
37,25,41,10,2,2
44,5,39,69,47,24
5,49,14,13,31,30
35,9,26,11,51,32
45,17,59,12,25,19
4,9,27,7,32,6
24,3,28,1,41,10
10,2,39,34,7,12
3,48,45,1,35,18
50,42,36,38,34,33
45,11,28,40,3,33
27,24,42,31,13,22
33,54,42,9,45,30
31,5,55,50,56,9
10,40,14,8,33,31
3,49,30,19,26,31
37,52,10,1,57,11
7,22,27,48,50,17
38,13,12,9,35,30
46,11,1,35,53,29
52,28,10,40,31,41
35,9,49,4,32,28
34,44,20,48,6,29
17,45,23,33,21,11
50,17,57,35,4,12
6,40,37,13,8,11
28,17,1,50,8,20
9,32,5,7,23,26
12,25,48,2,30,38
40,52,3,67,12,21
32,14,47,20,3,2
47,53,14,52,54,5
47,2,32,40,16,15
44,29,54,40,9,7
51,19,9,62,55,14
14,42,18,33,24,8
48,24,5,15,18,16
27,6,11,15,22,27
27,6,15,42,24,32
53,9,37,5,42,27
38,19,6,42,4,37
49,64,48,41,53,20
28,13,20,32,16,36
54,11,6,42,53,7
39,6,37,45,55,33
7,28,44,43,15,20
31,8,29,25,4,41
19,47,1,40,49,14
20,8,27,52,17,24
5,43,16,12,13,11
36,52,44,4,40,33
22,54,52,14,59,4
19,9,6,24,40,31
13,45,54,5,17,12
43,1,28,27,24,25
42,19,23,14,29,26
8,33,38,35,47,8
33,57,19,23,13,28
36,46,23,44,42,33
15,41,59,37,56,5
1,38,5,26,32,30
16,46,10,56,7,1
62,52,13,12,44,6
26,35,16,52,58,2
19,20,27,7,26,12
7,8,17,59,48,9
39,25,38,15,30,42
34,48,54,52,9,15
8,29,51,58,41,5
17,36,23,10,13,23
42,8,49,22,3,39
54,51,9,18,4,10
43,39,2,33,40,26
6,18,11,20,44,39
21,17,37,44,19,16
57,30,13,38,32,25
22,31,3,7,14,2
2,4,34,22,6,26
2,17,36,24,5,20
17,49,54,35,1,34
58,56,20,19,42,37
20,5,22,34,23,19
42,5,12,18,7,14
52,11,55,48,29,36
57,14,29,18,28,8
2,37,36,48,9,16
58,16,15,46,50,29
47,33,68,27,13,13
41,43,20,19,38,29
56,45,57,22,18,27
17,45,41,34,13,17
47,52,55,48,12,13
19,24,47,27,15,11
16,3,15,39,28,1
37,4,32,42,33,25
43,22,6,20,32,11
13,30,5,20,17,18
12,28,13,48,6,26
14,23,41,61,22,9
28,20,44,13,12,17
39,48,20,22,10,25
31,37,13,14,15,10
40,36,4,21,2,41
50,16,18,36,27,8
5,33,10,13,30,28
26,1,11,4,23,14
3,24,30,49,10,35
25,10,35,43,24,32
28,35,47,40,53,30
53,24,51,16,18,16
42,14,22,13,32,26
10,15,51,12,49,21
23,20,5,30,8,3
22,20,32,16,37,9
21,57,58,14,50,7
23,45,50,20,36,9
22,43,1,24,39,26
8,42,51,20,6,16
12,30,7,48,28,40
53,27,25,3,28,35
51,46,26,3,11,23
41,54,59,33,5,13
31,20,4,25,6,6
27,18,16,30,13,23
22,39,21,20,11,1
17,28,30,4,40,3
12,7,22,31,8,18
5,48,41,34,13,7
43,63,16,38,10,23
34,21,49,32,19,38
25,24,20,59,53,15
45,21,35,33,38,12
42,4,26,51,19,29
4,23,45,47,33,33
65,28,49,60,4,25
9,47,20,25,68,7
22,25,39,13,51,28
16,19,34,37,22,20
47,10,6,31,48,29
35,5,38,7,20,19
37,47,18,22,54,36
1,11,20,27,25,2
2,4,38,14,8,1
24,38,5,25,30,40
14,22,44,21,29,3
63,39,59,34,10,4
23,11,12,17,10,7
45,38,23,22,18,31
9,4,31,26,49,2
55,50,24,11,15,8
31,28,21,41,26,29
28,48,54,24,50,25
27,45,7,12,17,24
42,23,19,27,52,1
27,5,10,11,32,13
5,7,28,27,19,20
21,57,26,22,30,27
32,2,19,34,24,2
8,3,23,30,58,13
35,43,47,20,4,27
10,42,33,2,45,2
25,18,29,21,28,16
31,22,13,23,29,17
19,39,23,41,8,21
2,39,27,9,36,13
6,14,22,12,33,21
39,5,35,7,23,11
35,1,15,37,45,32
11,28,43,30,34,29
20,50,12,2,22,17
16,18,48,39,26,22
3,43,5,42,12,5
45,24,14,23,48,21
15,41,29,27,3,24
16,20,9,12,39,1
47,37,30,54,10,39
44,2,52,30,13,40
12,46,44,47,26,29
46,29,21,32,19,32
47,30,40,28,6,24
40,23,52,46,7,41
25,48,39,15,32,32
14,12,13,17,53,11
36,20,59,17,7,33
22,24,45,19,30,21
2,28,37,40,49,22
44,17,13,2,45,14
38,22,41,30,14,12
29,49,17,34,31,16
6,33,48,13,10,9
34,41,26,35,16,24
29,6,39,52,9,8
30,51,17,48,54,29
28,39,22,32,33,42
46,39,52,11,54,3
57,41,50,26,1,11
32,21,12,44,66,15
30,43,46,12,39,10
39,18,66,37,26,15
10,18,19,1,13,27
5,41,20,14,17,5
52,22,19,34,30,40
9,10,40,24,21,36
32,4,45,23,18,7
30,27,25,15,4,18
1,38,37,5,53,31
25,42,19,13,20,13
20,8,22,32,52,39
53,28,48,39,40,9
40,27,34,44,42,8
51,39,42,11,7,30
9,6,11,44,31,25
43,48,7,37,52,16
36,17,14,11,25,38
27,35,21,55,2,1
22,38,21,12,41,18
49,46,17,51,9,9
49,14,9,17,57,2
52,29,2,3,13,25
34,23,43,19,2,14
7,21,15,9,40,18
13,7,49,24,57,15
39,49,31,34,42,26
20,47,45,44,11,5
41,26,42,13,39,10
26,42,27,7,8,12
34,26,49,14,1,15
45,29,31,39,46,33
31,54,33,16,12,5
6,48,43,30,45,32
22,13,9,37,23,31
57,40,58,31,39,33
55,41,26,14,59,1
48,3,9,5,42,35
55,13,28,58,31,15
34,35,15,32,8,34
20,18,53,28,35,20
6,50,5,36,13,13
49,21,44,7,43,29
58,30,35,28,59,15
48,46,41,6,38,37
18,9,14,47,42,32
4,31,45,3,8,12
24,28,3,49,8,25
17,13,50,35,45,2
62,2,30,19,14,22
10,52,11,49,18,2
56,62,54,63,4,10
44,50,2,38,32,21
44,24,35,9,8,42
39,20,22,14,44,14
3,34,27,59,69,19
46,34,25,8,39,34
38,16,22,33,32,13
40,4,39,19,50,22
37,32,6,11,47,13
37,8,40,52,39,24
9,46,48,45,51,2
23,3,7,42,27,37
19,38,11,25,50,35
58,18,53,8,45,35
5,6,18,44,42,3
48,46,26,42,37,38
46,39,30,14,43,14
21,23,38,20,42,6
18,51,14,34,10,26
11,39,1,40,37,23
32,12,20,16,26,35
20,41,4,40,22,7
10,2,9,6,5,26
46,50,27,28,26,21
45,51,8,16,2,32
37,2,39,38,42,22
40,27,17,53,37,35
31,29,1,47,25,7
55,52,46,50,36,14
19,8,9,25,22,11
47,30,29,49,45,35
25,1,36,42,34,19
48,39,26,18,22,17
27,14,6,4,5,6
12,59,44,20,9,23
26,19,45,21,3,2
35,40,42,33,31,40
28,11,50,57,62,23
43,5,35,50,26,4
19,2,11,21,42,34
53,38,40,10,48,3
28,26,35,45,17,20
34,19,37,47,16,18
40,25,7,56,2,20
1,26,46,27,43,31
47,4,33,32,55,39
16,1,3,41,37,19
5,23,43,4,13,34
55,20,40,47,41,19
52,54,41,42,57,30
35,13,20,21,40,35
38,7,51,40,52,14
27,15,19,44,36,17
37,40,36,30,48,28
15,8,50,9,13,9
59,48,19,33,30,27
50,19,44,5,6,28
49,13,30,53,42,29
9,42,10,55,32,6
14,22,12,29,41,41
34,51,45,6,16,4
26,49,10,16,8,40
23,43,25,35,13,15
41,29,52,54,48,29
45,9,12,29,17,4
35,18,30,26,44,19
10,48,47,3,1,27
16,37,1,48,26,9
54,3,5,27,18,13
5,20,44,21,18,27
2,26,11,32,22,19
48,56,24,36,33,6
2,8,3,12,36,24
6,34,33,59,58,12
38,39,25,14,18,7
13,30,55,11,35,37
10,33,5,51,29,35
36,25,49,46,34,9
4,7,39,34,27,1
20,8,43,39,27,1
59,22,26,16,27,5
5,14,22,30,15,31
35,17,48,31,26,35
22,14,38,41,11,39
14,42,43,52,40,17
26,15,18,36,31,20
15,24,47,35,16,26
9,10,48,6,26,10
41,51,30,50,53,8
20,41,13,35,16,6
26,44,34,12,48,9
26,45,14,55,54,20
56,7,1,11,55,1
11,44,38,51,45,41
48,30,21,20,11,18
23,49,46,52,26,28
32,36,39,29,49,29
46,23,13,28,18,33
39,7,40,24,37,1
18,54,61,13,37,5
13,52,22,55,27,26
5,22,45,49,10,37
40,27,39,16,3,3
41,5,57,34,22,31
5,52,28,59,31,27
32,9,44,38,41,27
7,49,18,28,21,1
33,11,44,47,46,12
52,26,31,22,4,30
52,56,1,6,48,9
29,27,44,21,41,9
40,59,21,39,55,17
12,43,15,31,26,10
16,35,47,36,28,31
13,51,42,23,9,15
33,14,12,39,27,41
43,19,4,11,33,14
25,67,39,23,54,11
34,50,39,42,15,12
38,34,4,35,47,16
7,37,2,35,16,10
32,19,7,9,6,13
60,29,18,27,8,15
3,13,38,32,48,13
30,13,46,20,32,36
19,39,23,37,12,13
31,24,20,39,17,21
44,48,47,32,28,27
22,14,3,20,48,17
28,19,29,47,4,5
32,13,17,33,7,35
22,14,39,43,19,12
47,23,11,28,32,20
12,14,35,26,36,37
27,26,33,8,10,22
32,38,28,13,33,14
13,11,20,3,40,20
58,53,40,23,9,6
1,19,8,28,45,25
36,42,26,16,47,33
15,46,34,23,40,35
23,15,44,38,43,38
44,1,53,3,41,30
26,36,40,7,12,17
38,34,46,20,10,3
40,14,28,26,31,13
21,7,32,52,44,10
11,50,40,17,62,26
47,2,66,67,6,2
49,7,17,53,2,23
28,29,44,40,21,8
49,54,28,25,56,28
37,28,15,53,14,18
19,10,48,3,21,22
55,23,17,59,36,10
27,21,19,6,2,25
48,11,45,30,47,10
28,9,49,38,29,6
25,51,43,17,1,38
48,24,38,52,29,32
22,30,38,21,29,39
27,33,14,24,34,6
12,21,14,15,43,30
52,13,55,44,51,30
35,17,7,44,37,30
17,7,32,25,12,33
16,22,5,1,48,6
7,13,33,38,16,13
45,35,47,46,12,12
29,18,6,37,16,24
49,36,23,12,1,9
48,31,17,49,29,34
35,6,30,45,39,31
10,7,37,4,30,37
52,2,36,35,13,11
9,49,24,45,50,37
43,42,20,29,8,35
29,8,37,38,5,34
32,44,45,26,41,35
36,16,18,15,20,18
16,21,36,23,11,37
6,26,14,1,34,34
49,23,33,35,28,16
59,7,53,26,4,32
13,4,36,31,52,8
24,50,21,42,49,1
58,12,5,1,13,21
47,34,23,31,3,13
28,7,6,27,41,3
38,22,59,49,14,16
43,14,31,51,24,27
25,11,54,13,39,19
45,10,43,27,15,31
10,15,9,18,29,9
44,45,33,51,31,31
31,47,20,18,8,11
25,46,8,47,30,31
2,18,16,40,35,41
44,41,46,35,5,27
28,61,63,41,65,7
5,31,7,49,53,14
49,39,27,13,18,20
15,26,28,8,43,36
29,17,12,7,48,21
23,55,33,22,29,21
15,12,23,17,49,7
40,20,21,17,51,19
